,Title,Published_date,Views,Likes,Favourites,Comments,Month
168,Why You Need to Stop Taking Courses (From an Ex-Course Addict),2021-07-13,129954,5628,0,365,Jul
169,How to Create a Portfolio Website for FREE,2021-06-29,413740,10318,0,617,Jun
170,Data Analyst Portfolio Project | Correlation in Python | Project 4/4,2021-06-22,140327,2619,0,434,Jun
171,How To Get a Data Analyst Job (with No Experience),2021-06-08,445787,19631,0,592,Jun
172,My Wife Answers Subscribers Questions About Me | Alex The Analyst Show | Episode 19,2021-06-03,6248,240,0,107,Jun
173,Favorite Tableau and Power BI Courses on Udemy,2021-06-01,29318,828,0,86,Jun
174,Data Analyst Portfolio Project | Data Cleaning in SQL | Project 3/4,2021-05-25,338656,6860,0,765,May
175,Data Analyst Portfolio Project | Tableau Visualization | Project 2/4,2021-05-18,321291,5335,0,438,May
176,Asking My Family What I Do For a Living,2021-05-11,3692,195,0,56,May
177,Data Analyst Portfolio Project | SQL Data Exploration | Project 1/4,2021-05-04,1604800,29750,0,3631,May
178,Advanced SQL Tutorial | Subqueries,2021-04-20,288949,6755,0,192,Apr
179,Data Analyst Q/A #6 | Why Am I Not a Data Scientist?,2021-04-15,22039,824,0,149,Apr
180,Google vs IBM Data Analytics Certificates | Which is Better?,2021-04-13,307072,11068,0,592,Apr
181,Data Analyst Reacts: How to Go From Data Analyst to Data Scientist,2021-04-06,24684,891,0,84,Apr
182,Laptops for Data Analysts |  Specifications + Recommendations,2021-03-30,163814,3750,0,298,Mar
183,Best Machine Learning Courses on Coursera,2021-03-23,48349,1555,0,80,Mar
184,Will Data Analysts Be Automated? | Alex The Analyst | Episode 18,2021-03-18,16162,474,0,122,Mar
185,Advanced SQL Tutorial | Stored Procedures + Use Cases,2021-03-16,309296,5969,0,161,Mar
186,Google Data Analytics Professional Certificate | It's Finally Here!,2021-03-12,353328,11006,0,1169,Mar
187,Google Data Analytics Certificate | Coming Out Soon!,2021-03-04,51663,2378,0,325,Mar
188,Reviewing Your Data Analyst Resumes | Part 2,2021-03-02,21351,540,0,77,Mar
189,Best Course to Learn Statistics for Data Analysis,2021-02-25,83967,2346,0,88,Feb
190,DataQuest Review | Is it Worth it?,2021-02-23,22247,406,0,46,Feb
191,R vs Python | Which is Better for Data Analysis?,2021-02-16,207129,4723,0,385,Feb
192,Advanced SQL Tutorial | String Functions + Use Cases,2021-02-04,135502,3614,0,137,Feb
193,Advanced SQL Tutorial | Temp Tables,2021-02-02,197942,4668,0,122,Feb
194,IBM Data Analyst Certificate Study Session,2021-01-30,5164,175,0,22,Jan
195,IBM Data Analyst Professional Certificate by Coursera | Is it Worth it?,2021-01-26,106274,2820,0,292,Jan
196,DataCamp Review | Is it Worth it?,2021-01-21,151430,3308,0,249,Jan
197,Best Python Course for Data Analysts,2021-01-19,47248,1315,0,114,Jan
198,Top 5 Data Analyst Skills,2021-01-12,25730,1206,0,168,Jan
199,Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,2021-01-07,14461,475,0,149,Jan
